title,company,location,remote,tags,job_types,url,description
Bauingenieur (m/w/d) - Projektmanagement,MY Humancapital GmbH,Minden,False,Engineering,,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/bauingenieur-projektmanagement-minden-370052,"<p>Im Auftrag unseres Partnerunternehmens in Minden suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Bauingenieur (m/w/d) - Projektmanagement &#x26; Bauüberwachung“.</strong></p>
<h2><strong>Aufgaben</strong></h2>
<ul>
<li>
<p>Als <strong>Bauingenieur (m/w/d)</strong> planen und steuern Sie Infrastruktur- und Bauprojekte von der Konzeptphase bis zur Umsetzung</p>
</li>
<li>
<p>Sie übernehmen die <strong>Projektbearbeitung sowie die örtliche Bauüberwachung</strong> und stellen die Einhal"
System Engineer Requirements & Systemarchitektur (m/w/d),MY Humancapital GmbH,Munich,False,Engineering,,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/system-engineer-requirements-systemarchitektur-munich-294005,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „<strong>System Engineer Requirements &#x26; Systemarchitektur (m/w/d)</strong>“.</p>
<h2><strong>Aufgaben</strong></h2>
<ul>
<li>Als Systems Engineer (m/w/d) erstellen und pflegen Sie Systemanforderungen sowie technische Architekturen für komplexe Entwicklungsprojekte</li>
<li>Zudem koordinieren Sie Anforderungen, Schnittstellen und technische Abstimmungen mit internen Fachbereichen und externe"
Linux Systemadministrator (m/w/d),MY Humancapital GmbH,Dresden,False,System and Network Administration,,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/linux-systemadministrator-dresden-449416,"<p>Im Auftrag unseres Partnerunternehmens suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„<strong><strong>Linux Systemadministrator (m/w/d) in Dresden</strong></strong>“.</strong></p>
<h2><strong>Aufgaben</strong></h2>
<ul>
<li>Als Linux-Administrator (m/w/d) sichern Sie den stabilen und geschützten Betrieb moderner Serverumgebungen</li>
<li>Zudem betreuen Sie leistungsfähige Storage-Lösungen und gewährleisten eine hohe Verfügbarkeit der Systeme</li>
<li>Auch die Integration in gemisch"
Junior Software Engineer (AI-Native) (m/f/d),Labeless (Bytes & Pixels GmbH),Munich,False,Software Development,entry,https://www.arbeitnow.com/jobs/companies/labeless-bytes-pixels-gmbh/junior-software-engineer-ai-native-munich-178835,"<p>Bytes &#x26; Pixels builds software for clients and runs its own digital products, including mobile AI apps. The work spans interesting client projects, our own product bets, and our skincare brand Labeless. Small Munich team, short path from idea to shipped.</p>
<p>Most junior engineer roles still describe a job that is quietly disappearing: type out every line by hand and wait for someone senior to review it. We are hiring for the job that is replacing it. You will write software the way we"
AI Enablement Engineer (m/f/d),syte GmbH,Münster,True,"Remote, Business Consulting",professional / experienced,https://www.arbeitnow.com/jobs/companies/syte-gmbh/ai-enablement-engineer-munster-444879,"<h2>Your mission</h2>
<p><strong>Become more efficient at working with AI — and help shape the internal processes of a fast-growing PropTech company.</strong></p>
<p>We are syte — a PropTech company based in Münster that develops AI-powered software providing the decision-making foundation for real estate development. Our platform replaces weeks of expert consultations with instant, AI-driven analyses: project developers, property developers, banks, and investors use syte to decide whether, what"
Senior Software Entwickler/in (m/w/d) - Finance,Polarstern Experts,Hanover,False,Software Development,berufserfahren,https://www.arbeitnow.com/jobs/companies/polarstern-experts/senior-software-entwickler-in-finance-hanover-352349,"<p>Als Senior Softwareentwickler/in (m/w/d) arbeitest Du insbesondere an individuellen Softwarelösungen für Kunden (Banken, Versicherungen und Handel).</p>
<p>Für unseren neuen Standort in Hannover suchen wir erfahrene Entwickler-Persönlichkeiten, die nicht nur exzellenten Code schreiben, sondern auch Lust haben, einen neuen Standort von Grund auf mitaufzubauen.</p>
<p>Wir arbeiten interdisziplinär für unsere Kunden daran, die individuell beste Lösung zu entwickeln. Respekt und Wertschätzung ist"
Business Development Manager (m/w/d) ServiceNow Sovereign Cloud,noris network AG,Nuremberg,True,"Remote, IT",berufserfahren,https://www.arbeitnow.com/jobs/companies/noris-network-ag/business-development-manager-servicenow-sovereign-cloud-nuremberg-420757,"<p>Die noris network AG bietet Unternehmen Lösungen in den Bereichen IT-Outsourcing, Cloud Services, Network &#x26; Security und Datacenter. Technologische Basis dieser Services ist eine leistungsfähige IT-Infrastruktur mit einem eigenen Hochleistungs-Backbone und mehreren Hochsicherheitsrechenzentren. Seit 1993 haben wir uns zu einem der IT-Spezialisten mit mehr als 500 Mitarbeitenden entwickelt. Das alles wäre aber nicht möglich ohne ein starkes Team. Deswegen legen wir Wert auf die permanente"
"C# Backend Entwickler (m/W/d) Cloud, APIs & Travel Tech",Intercon Solutions GmbH,Cologne,False,Software Development,,https://www.arbeitnow.com/jobs/companies/intercon-solutions-gmbh/c-backend-entwickler-cloud-apis-travel-tech-cologne-484698,"<p>Du möchtest mit modernen Technologien arbeiten und leistungsstarke Cloud-Anwendungen entwickeln, die täglich von internationalen Reiseveranstaltern genutzt werden? Dann bist Du hier genau richtig!</p>
<p>Für die Weiterentwicklung unserer modernen Reiseveranstalter-Plattform suchen wir einen C# Backend Developer (m/w/d), der Freude an skalierbaren Architekturen, komplexen Geschäftsprozessen und innovativen Softwarelösungen hat</p>
<h2>Aufgaben</h2>
<ul>
<li>Entwicklung und Weiterentwicklung le"
Junior Software Engineer (all genders),Ray Sono GmbH,Munich,False,Software Development,berufseinstieg,https://www.arbeitnow.com/jobs/companies/ray-sono-gmbh/junior-software-engineer-all-genders-munich-222188,"<h2>Digitale Transformationsbegleitung</h2>
<p>In unseren agilen Teams setzt du neue Maßstäbe und feierst gemeinsam echte Erfolge. Unsere Projekte sind so vielfältig wie die Herausforderungen unserer Kund*innen: Von Strategic Experience Design über Digital Communication bis hin zur Softwareentwicklung – wir gestalten Digitalisierung greifbar und wirkungsvoll.</p>
<p>Dich erwarten nicht nur spannende Projekte, sondern auch eine Kultur, die Professionalität, Respekt und Freude an der Zusammenarbei"
Software & AI Lead (m/f/d),BugSense Diagnostics,Munich,False,IT,,https://www.arbeitnow.com/jobs/companies/bugsense-diagnostics/software-ai-lead-munich-121910,"<p><strong>Want to help shape the future of point-of-care diagnostics?</strong></p>
<p>BugSense is developing a paper-based diagnostic test that identifies urinary tract infections, bacterial load and antibiotic resistance within one working day. Our goal is to help clinicians make faster, more precise treatment decisions and reduce unnecessary antibiotic use.</p>
<p>This is where software and AI become critical: our diagnostic test produces subtle colour signals on paper.</p>
<p>Your work will "
